person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,debt_to_income,risk_tier,high_risk_flag,income_bracket,monthly_burden
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,0.3261,3,0,High,1043.34
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,0.3093,2,0,High,977.2
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.25,1,0,Very High,938.71
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,0.0357,3,0,Very High,351.37
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,0.0722,2,0,Very High,659.33
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,0.2344,1,0,Very High,930.3
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,0.229,1,0,Very High,912.52
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.0436,2,0,Very High,396.17
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,0.1127,4,1,Very High,875.23
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,0.4157,4,1,High,1022.93
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0.125,4,1,Low,51.88
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.1077,2,0,Very High,916.55
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0.0772,4,1,Very High,687.64
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0.0376,1,0,Very High,296.38
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.1,3,0,Very High,848.26
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.25,3,0,Low,101.97
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,0.4308,1,0,High,876.13
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,0.3294,1,0,High,870.85
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,0.5083,1,0,Low,189.78
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,0.3182,2,0,High,902.3
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.35,3,0,Low,142.49
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,0.3958,1,0,Low,146.97
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,0.3373,4,1,High,984.26
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0.072,3,0,Very High,606.32
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.28,2,0,High,939.26
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,0.2545,1,0,Very High,889.09
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,0.1852,2,0,Very High,918.14
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,0.2708,5,1,Low,113.75
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,0.3929,3,0,High,927.38
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,0.3695,4,1,High,945.93
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,0.3253,3,0,High,916.12
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,0.416,2,0,High,859.98
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,0.2133,2,0,Very High,858.75
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,0.1294,3,0,Low,54.35
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,0.4246,2,0,Medium,833.9
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0.0855,3,0,Very High,686.18
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0.0855,2,0,Very High,634.88
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0.0923,2,0,Very High,719.29
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,0.0538,4,1,Very High,409.15
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0.1075,3,0,Very High,856.51
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0.1522,3,0,Very High,1196.05
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,0.3048,2,0,High,828.17
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,0.1389,3,0,Low,59.48
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,0.5882,3,0,Medium,839.1
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,0.2341,3,0,Low,100.89
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,0.2816,2,0,Low,117.62
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0.0885,2,0,Very High,659.43
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,0.1333,5,1,Very High,1113.53
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,0.1643,2,0,Very High,1140.06
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,0.3472,2,0,Low,149.1
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,0.1847,3,0,Low,81.43
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,0.5952,4,1,Medium,861.62
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,0.5208,2,0,Medium,802.46
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,0.277,4,1,Low,124.07
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,0.5902,5,1,Medium,883.25
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,0.5102,2,0,Medium,818.35
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,0.1111,6,1,Very High,912.23
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,0.0133,1,0,Very High,95.85
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,0.0333,1,0,Very High,237.21
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0.1111,2,0,Very High,807.62
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,0.5054,2,0,Medium,828.33
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0.5,1,0,Medium,782.26
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0.5,1,0,Medium,760.44
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,0.5682,4,1,Medium,870.68
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,0.5,2,0,Medium,828.33
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,0.5,2,0,Medium,810.91
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,0.5,3,0,Medium,833.11
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,0.4808,2,0,Medium,819.77
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,0.375,1,0,Low,154.89
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0.1136,2,0,Very High,825.35
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,0.0972,1,0,Very High,666.82
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,0.1157,4,1,Very High,879.79
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,0.0926,3,0,Very High,685.69
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,0.1628,3,0,Very High,1209.69
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0.0558,1,0,Very High,375.37
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,0.4808,3,0,Medium,845.0
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,0.5435,4,1,Medium,828.69
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,0.4717,3,0,Medium,847.54
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,0.5319,4,1,Medium,870.07
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,0.5319,5,1,Medium,902.93
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,0.1061,2,0,Low,44.68
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,0.3409,3,0,Low,151.58
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0.0762,2,0,Very High,520.94
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0.1048,2,0,Very High,728.93
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,0.5208,6,1,Medium,909.21
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,0.4545,2,0,Medium,822.74
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,0.4545,4,1,Medium,874.61
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,0.4532,3,0,Medium,845.0
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,0.4464,3,0,Medium,840.78
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,0.0983,3,0,Very High,674.26
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,0.1158,6,1,Very High,790.73
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,0.5568,5,1,Low,276.46
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,0.4167,2,0,Medium,818.35
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,0.4167,2,0,Medium,819.77
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,0.463,4,1,Medium,864.55
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,0.06,2,0,Very High,402.54
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,0.06,3,0,Very High,407.17
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,0.08,3,0,Very High,551.91
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,0.463,5,1,Medium,889.08
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,0.4167,3,0,Medium,839.1
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,0.4167,2,0,Medium,809.62
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,0.4167,2,0,Medium,818.35
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,0.4035,3,0,High,839.1
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,0.4433,4,1,Medium,866.14
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,0.125,3,0,Very High,854.32
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0.12,1,0,Very High,746.44
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0.075,3,0,Very High,518.44
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,0.0775,2,0,Very High,514.75
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,0.05,1,0,Very High,315.63
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,0.3788,2,0,High,805.62
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,0.3788,3,0,High,843.07
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0.045,1,0,Very High,274.49
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,0.09,4,1,Very High,635.67
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0.06,2,0,Very High,389.35
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,0.1152,3,0,Very High,791.72
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,0.3732,4,1,High,869.21
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,0.3731,1,0,High,782.26
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,0.3731,2,0,High,818.35
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,0.3676,4,1,High,855.53
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,0.3623,4,1,High,897.43
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0.06,2,0,Very High,395.6
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,0.1064,5,1,Very High,720.44
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0.015,3,0,Very High,102.42
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,0.3572,4,1,High,869.21
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,0.2778,2,0,Low,130.94
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,0.3571,2,0,High,828.69
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,0.4167,1,0,Low,186.61
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,0.4456,4,1,Medium,884.99
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,0.3788,4,1,High,870.68
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,0.3788,2,0,High,825.35
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,0.3733,1,0,Low,163.01
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,0.3443,3,0,High,843.67
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,0.3378,2,0,High,810.91
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,0.3333,2,0,High,810.91
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,0.0524,2,0,Very High,334.68
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,0.3333,2,0,High,809.62
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,0.3521,4,1,High,878.31
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,0.1053,2,0,Very High,666.01
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,0.1263,2,0,Very High,795.2
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,0.3205,2,0,High,813.98
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,0.3185,2,0,High,815.39
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,0.0538,2,0,Very High,323.85
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,0.0811,3,0,Very High,521.97
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,0.4029,4,1,High,870.68
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,0.3148,4,1,High,869.21
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,0.434,3,0,Low,215.8
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,0.3139,4,1,High,875.23
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,0.3139,3,0,High,846.57
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,0.3125,1,0,High,767.59
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,0.3125,3,0,High,849.71
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,0.1351,2,0,Very High,822.74
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,0.027,1,0,Very High,155.94
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,0.1189,4,1,Very High,756.83
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,0.0136,2,0,Very High,82.83
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,0.1163,3,0,Very High,678.42
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,0.1093,2,0,Very High,659.43
25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,0.082,1,0,Very High,456.53
23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,0.3378,5,1,High,883.25
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,0.3086,1,0,High,775.25
23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,0.3064,2,0,High,822.74
24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,0.3049,2,0,High,809.62
24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3,0.3012,2,0,High,819.89
24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3,0.3012,4,1,High,841.39
24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4,0.1,5,1,Very High,656.54
23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,N,3,0.1556,1,0,Very High,871.1
23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,0.2778,5,1,Low,142.01
22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4,0.1458,2,0,Low,68.89
22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4,0.2959,6,1,High,907.58
24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4,0.2941,2,0,High,813.98
24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2,0.0778,2,0,Very High,464.93
26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4,0.0667,2,0,Very High,385.13
25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4,0.07,6,1,Very High,362.78
24,87000,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3,0.2874,4,1,High,864.68
24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,0.33,Y,3,0.3333,5,1,High,862.96
23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4,0.3289,4,1,High,879.17
23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,0.32,Y,2,0.3776,4,1,High,871.17
25,90000,RENT,9.0,MEDICAL,B,25000,10.99,0,0.28,N,4,0.2778,2,0,High,818.35
21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2,0.4133,1,0,Low,194.0
26,180000,OWN,2.0,PERSONAL,B,25000,10.99,0,0.14,N,4,0.1389,2,0,Very High,818.35
24,180000,OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,N,3,0.1167,2,0,Very High,692.3
25,180000,OWN,9.0,MEDICAL,C,20000,14.26,0,0.11,Y,4,0.1111,3,0,Very High,686.08
26,180000,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,N,4,0.0556,1,0,Very High,313.36
25,180000,MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0.06,N,2,0.0553,2,0,Very High,326.98
23,78000,RENT,2.0,VENTURE,D,25000,16.32,1,0.32,Y,3,0.3205,4,1,High,882.88
25,66300,RENT,3.0,MEDICAL,E,25000,17.93,1,0.32,Y,4,0.3771,5,1,High,902.93
23,90000,RENT,0.0,DEBTCONSOLIDATION,B,25000,11.36,0,0.28,N,3,0.2778,2,0,High,822.74
24,79000,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,Y,4,0.3165,4,1,High,866.14
24,91800,RENT,4.0,PERSONAL,C,25000,13.43,0,0.27,Y,3,0.2723,3,0,High,847.54
